"N","mean","bias","mse","prob","cover","model"
50,0.00398852072876595,0.00398852072876595,0.0238941814931774,0.016,0.97,"Laplace-Uniform"
100,0.00369302070207175,0.00369302070207175,0.0132132858530158,0.012,0.976,"Laplace-Uniform"
150,-0.00752898962422699,-0.00752898962422699,0.00772017822480742,0.012,0.984,"Laplace-Uniform"
200,0.00160357716098909,0.00160357716098909,0.00513404349643233,0.012,0.984,"Laplace-Uniform"
250,-0.00265021760816829,-0.00265021760816829,0.00526715509159853,0.018,0.96,"Laplace-Uniform"
300,-0.00179041837159357,-0.00179041837159357,0.00355120335933742,0.018,0.97,"Laplace-Uniform"
350,-0.000476868351081316,-0.000476868351081316,0.00330189208685478,0.022,0.966,"Laplace-Uniform"
400,0.00307380644252765,0.00307380644252765,0.00259520094115943,0.006,0.984,"Laplace-Uniform"
450,0.000551389534810945,0.000551389534810945,0.00202856655803603,0.008,0.986,"Laplace-Uniform"
500,0.000216710358300171,0.000216710358300171,0.00196274317519857,0.008,0.988,"Laplace-Uniform"
